LAST SEEN   TYPE      REASON              OBJECT                                MESSAGE
49m         Normal    Killing             pod/localai-rpc-b-78b966fc7c-rx5sw    Stopping container rpc-worker
49m         Normal    SuccessfulDelete    replicaset/localai-rpc-b-78b966fc7c   Deleted pod: localai-rpc-b-78b966fc7c-rx5sw
49m         Normal    ScalingReplicaSet   deployment/localai-rpc-b              Scaled down replica set localai-rpc-b-78b966fc7c from 1 to 0
29m         Normal    ScalingReplicaSet   deployment/localai-rpc-b              Scaled up replica set localai-rpc-b-78b966fc7c from 0 to 1
29m         Normal    Pulled              pod/localai-rpc-b-78b966fc7c-lp7hb    Container image "quay.io/go-skynet/local-ai:v4.1.0" already present on machine and can be accessed by the pod
29m         Normal    Created             pod/localai-rpc-b-78b966fc7c-lp7hb    Container created
29m         Normal    Started             pod/localai-rpc-b-78b966fc7c-lp7hb    Container started
29m         Normal    SuccessfulCreate    replicaset/localai-rpc-b-78b966fc7c   Created pod: localai-rpc-b-78b966fc7c-lp7hb
29m         Normal    Scheduled           pod/localai-rpc-b-78b966fc7c-lp7hb    Successfully assigned genai-thesis/localai-rpc-b-78b966fc7c-lp7hb to sc-app-02
16m         Normal    ScalingReplicaSet   deployment/localai-rpc-c              Scaled up replica set localai-rpc-c-7c45cbd784 from 0 to 1
16m         Warning   FailedScheduling    pod/localai-rpc-c-7c45cbd784-bslwv    0/3 nodes are available: 1 Insufficient cpu, 1 Insufficient memory, 2 node(s) didn't match Pod's node affinity/selector. no new claims to deallocate, preemption: 0/3 nodes are available: 1 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
16m         Normal    SuccessfulCreate    replicaset/localai-rpc-c-7c45cbd784   Created pod: localai-rpc-c-7c45cbd784-bslwv
5m58s       Warning   FailedScheduling    pod/localai-rpc-c-7c45cbd784-bslwv    0/3 nodes are available: 1 Insufficient cpu, 1 Insufficient memory, 2 node(s) didn't match Pod's node affinity/selector. no new claims to deallocate, preemption: 0/3 nodes are available: 1 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
10m         Normal    ScalingReplicaSet   deployment/localai-rpc-d              Scaled up replica set localai-rpc-d-684847f7f9 from 0 to 1
10m         Warning   FailedScheduling    pod/localai-rpc-d-684847f7f9-vq5ks    0/3 nodes are available: 1 Insufficient cpu, 1 Insufficient memory, 2 node(s) didn't match Pod's node affinity/selector. no new claims to deallocate, preemption: 0/3 nodes are available: 1 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
10m         Normal    SuccessfulCreate    replicaset/localai-rpc-d-684847f7f9   Created pod: localai-rpc-d-684847f7f9-vq5ks
5m28s       Warning   FailedScheduling    pod/localai-rpc-d-684847f7f9-vq5ks    0/3 nodes are available: 1 Insufficient cpu, 1 Insufficient memory, 2 node(s) didn't match Pod's node affinity/selector. no new claims to deallocate, preemption: 0/3 nodes are available: 1 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
4m14s       Normal    SuccessfulDelete    replicaset/localai-rpc-c-7c45cbd784   Deleted pod: localai-rpc-c-7c45cbd784-bslwv
4m14s       Normal    ScalingReplicaSet   deployment/localai-rpc-c              Scaled down replica set localai-rpc-c-7c45cbd784 from 1 to 0
4m14s       Normal    SuccessfulDelete    replicaset/localai-rpc-d-684847f7f9   Deleted pod: localai-rpc-d-684847f7f9-vq5ks
4m14s       Normal    ScalingReplicaSet   deployment/localai-rpc-d              Scaled down replica set localai-rpc-d-684847f7f9 from 1 to 0
