LAST SEEN   TYPE      REASON              OBJECT                                MESSAGE
48m         Warning   FailedScheduling    pod/localai-rpc-c-7c45cbd784-bslwv    0/3 nodes are available: 1 Insufficient cpu, 1 Insufficient memory, 2 node(s) didn't match Pod's node affinity/selector. no new claims to deallocate, preemption: 0/3 nodes are available: 1 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
48m         Normal    SuccessfulCreate    replicaset/localai-rpc-c-7c45cbd784   Created pod: localai-rpc-c-7c45cbd784-bslwv
48m         Normal    ScalingReplicaSet   deployment/localai-rpc-c              Scaled up replica set localai-rpc-c-7c45cbd784 from 0 to 1
38m         Warning   FailedScheduling    pod/localai-rpc-c-7c45cbd784-bslwv    0/3 nodes are available: 1 Insufficient cpu, 1 Insufficient memory, 2 node(s) didn't match Pod's node affinity/selector. no new claims to deallocate, preemption: 0/3 nodes are available: 1 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
43m         Normal    ScalingReplicaSet   deployment/localai-rpc-d              Scaled up replica set localai-rpc-d-684847f7f9 from 0 to 1
43m         Warning   FailedScheduling    pod/localai-rpc-d-684847f7f9-vq5ks    0/3 nodes are available: 1 Insufficient cpu, 1 Insufficient memory, 2 node(s) didn't match Pod's node affinity/selector. no new claims to deallocate, preemption: 0/3 nodes are available: 1 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
43m         Normal    SuccessfulCreate    replicaset/localai-rpc-d-684847f7f9   Created pod: localai-rpc-d-684847f7f9-vq5ks
37m         Warning   FailedScheduling    pod/localai-rpc-d-684847f7f9-vq5ks    0/3 nodes are available: 1 Insufficient cpu, 1 Insufficient memory, 2 node(s) didn't match Pod's node affinity/selector. no new claims to deallocate, preemption: 0/3 nodes are available: 1 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
36m         Normal    SuccessfulDelete    replicaset/localai-rpc-c-7c45cbd784   Deleted pod: localai-rpc-c-7c45cbd784-bslwv
36m         Normal    ScalingReplicaSet   deployment/localai-rpc-c              Scaled down replica set localai-rpc-c-7c45cbd784 from 1 to 0
36m         Normal    SuccessfulDelete    replicaset/localai-rpc-d-684847f7f9   Deleted pod: localai-rpc-d-684847f7f9-vq5ks
36m         Normal    ScalingReplicaSet   deployment/localai-rpc-d              Scaled down replica set localai-rpc-d-684847f7f9 from 1 to 0
